id,email,password,role,status
1,t1@yorku.ca,t1t1,Student,approved
2,t2@yorku.ca,t2t2,Faculty,approved
3,t3@yorku.ca,t3t3,Staff,approved
123,test@gmail.com,Hargun@2003,Student,pending
124,Manager2,t1t1,Manager,approved
125,Manager1,BlT9$88#6lzU,Manager,approved
126,Manager4,D@7WYMjv9HfF,Manager,approved
127,Manager5,wh#@1fr6oxb%,Manager,approved
128,Manager3,_=w+VFbhHaZ@,Manager,approved
0,superadmin,Super@123,SuperManager,approved
129,Manager5,y9^Flmq*M5(*,Manager,approved
130,Manager4,8z#y_e7D!jpc,Manager,approved
131,Manager2,UuWnko^@A!-U,Manager,approved
132,Manager3,g^SR#O6s(SMp,Manager,approved
133,Manager1,xzg+_vcQ^mhG,Manager,approved
134,Manager1,StDeAc#Ffu-!,Manager,approved
135,Manager2,nqSPQwfw8RKX,Manager,approved
136,Manager3,i&Uo(lgk4GIR,Manager,approved
137,Manager5,XHeGEOaw*GtT,Manager,approved
138,Manager4,iJh)W29y-j6!,Manager,approved
139,Manager5,n0tbJeo8Chj),Manager,approved
140,Manager1,gpQR!Y@(-yd!,Manager,approved
141,Manager2,v4)BiyoWxobd,Manager,approved
142,Manager4,P!@tGgwIlbA%,Manager,approved
143,Manager3,JgO9+XO7Ml0g,Manager,approved
1742917334,test1@yorku.ca,Hargun@2003,Student,approved
1742918261,yaya@yorku.ca,Test@123,Student,pending
1742918261,yaya@yorku.ca,Test@123,Student,pending
1742918326,testingigngi@yorku.ca,Test@20003,Student,pending
1742918326,testingigngi@yorku.ca,Test@20003,Student,pending
1742919391,ttttt@yroku.ca,t1t1t1@2330AA,Student,pending
